,경도,위도,행정동코드
44220,127.162,35.9274,45710253
44221,127.02,35.8202,45710330
44222,127.021,35.8208,45710330
44223,127.026,35.8204,45710330
44224,127.123,35.9606,45710253
44225,127.123,35.9596,45710253
44226,127.21,35.9743,45710360
44227,127.206,35.854,45710340
44228,127.259,36.0849,45710380
44229,127.188,35.9527,45710360
44230,127.072,35.9105,45710250
44231,127.123,35.9935,45710253
44232,127.081,35.918,45710250
44233,127.053,35.9075,45710250
44234,127.072,35.9079,45710250
44235,127.067,35.9123,45710250
44236,127.067,35.9136,45710250
44237,127.075,35.9123,45710250
44238,127.097,35.8247,45111142
44239,127.07,35.9134,45710250
44240,127.06,35.9103,45710250
44241,127.063,35.9084,45710250
44242,127.019,35.8316,45710330
44243,127.021,35.8317,45710330
44244,127.022,35.8319,45710330
44245,127.113,35.8304,45111129
44246,127.124,35.8283,45111129
44248,127.128,35.8278,45111129
44249,127.025,35.8298,45710330
44250,127.024,35.8322,45710330
44251,127.125,35.5069,45750390
44252,127.152,35.5072,45750400
44253,127.055,35.8398,45710330
44254,127.053,35.8398,45710330
44255,127.043,35.8328,45710330
44256,127.051,35.8382,45710330
44257,127.042,35.8359,45710330
44258,127.316,35.5054,45750355
44259,127.056,35.8371,45710330
44260,127.024,35.8359,45710330
44261,127.053,35.8392,45710330
44262,127.195,35.4959,45750400
44263,127.12,35.4959,45770400
44264,127.126,35.9617,45710253
44265,127.028,35.8838,45113134
44266,127.131,35.9439,45710253
44267,126.997,35.8293,45710330
44269,127.071,35.9076,45710250
44270,127.067,35.9033,45710250
44277,127.518,35.592,45740320
44278,127.517,35.649,45740250
44279,127.616,35.6442,45740335
44280,127.579,35.7032,45740350
44281,127.154,35.8182,45111121
44282,127.148,35.8241,45111147
44283,127.15,35.8155,45111110
44284,127.136,35.8515,45113105
44285,127.152,35.8113,45111118
44286,127.152,35.816,45111110
44287,127.154,35.8158,45111110
44288,127.157,35.8127,45111118
44289,127.158,35.812,45111118
44290,127.152,35.8156,45111110
44291,127.151,35.8157,45111110
44292,127.153,35.8168,45111110
44293,127.149,35.8141,45111111
44294,127.121,35.797,45111137
44295,127.118,35.7937,45111137
44296,127.117,35.7981,45111137
44297,127.125,35.7961,45111137
44298,127.533,35.8231,45720330
44299,127.121,35.8217,45111128
44300,127.119,35.8193,45111128
44301,127.122,35.8186,45111128
44302,127.122,35.8158,45111128
44303,127.119,35.8155,45111128
44304,127.121,35.8135,45111128
44305,127.125,35.8139,45111128
44306,127.125,35.8173,45111128
44307,127.141,35.8256,45111119
44308,127.114,35.8274,45111129
44309,127.117,35.828,45111129
44310,127.12,35.8309,45111129
44311,127.109,35.8382,45111129
44312,127.119,35.8347,45111129
44313,127.116,35.8119,45111140
44314,127.117,35.8092,45111140
44315,127.115,35.8024,45111140
44316,127.115,35.8007,45111140
44317,127.127,35.8103,45111128
44318,127.134,35.8031,45111140
44319,127.143,35.8064,45111122
44320,127.124,35.8021,45111137
44321,127.12,35.8111,45111140
44322,127.163,35.8075,45111125
44323,127.1,35.8064,45111141
44324,127.104,35.8069,45111141
44326,127.111,35.8187,45111142
44327,127.567,35.8382,45720330
44328,127.142,35.8033,45111126
44329,127.077,35.7495,45111135
44330,127.108,35.8009,45111141
44331,127.171,35.8305,45113114
44332,127.161,35.8455,45113115
44333,127.158,35.8413,45113103
44335,127.056,35.8762,45113125
44336,127.079,35.8494,45113131
44337,127.087,35.8514,45113110
44338,127.064,35.8412,45113132
44339,127.061,35.843,45113132
44340,127.062,35.8335,45113138
44341,127.054,35.8328,45113138
44342,127.063,35.8465,45113132
44343,127.149,35.8601,45113116
44344,127.129,35.859,45113121
44345,127.132,35.8759,45113122
44346,127.082,35.8483,45113131
44347,127.168,35.831,45113103
44348,127.13,35.8714,45113122
44349,127.129,35.8246,45113102
44350,127.126,35.855,45113121
44351,127.129,35.8442,45113105
44352,127.105,35.8292,45111142
44353,127.065,35.8681,45113130
44354,127.127,35.8408,45113105
44356,127.121,35.8475,45113105
44357,127.141,35.8537,45113105
44358,127.138,35.7921,45111132
44359,127.123,35.8268,45111129
44360,127.147,35.8409,45113104
44361,127.413,35.8027,45720250
44362,127.163,35.8355,45113103
44363,127.177,35.8255,45113113
44364,127.15,35.8449,45113104
44365,127.119,35.865,45113121
44366,127.155,35.8144,45111118
44367,127.12,35.799,45111137
44368,127.121,35.7949,45111137
44369,127.111,35.7991,45111137
44370,127.138,35.8142,45111127
44371,127.127,35.8099,45111128
44372,127.114,35.8224,45111128
44373,127.138,35.8241,45111119
44374,127.122,35.8248,45111128
44375,127.116,35.8374,45111129
44376,127.114,35.8316,45111129
44377,127.117,35.8317,45111129
44378,127.103,35.8365,45111142
44379,127.104,35.8337,45111142
44380,127.107,35.8297,45111142
44381,127.166,35.8255,45113103
44383,127.087,35.7581,45111135
44384,127.11,35.8164,45111142
44385,127.108,35.8164,45111142
44386,127.193,35.7884,45111144
44387,127.163,35.8497,45113115
44388,127.43,35.7911,45720250
44389,127.426,35.789,45720250
44390,127.431,35.7921,45720250
44391,127.437,35.7619,45720250
44392,127.427,35.7882,45720250
44393,127.429,35.7867,45720250
44394,127.428,35.7867,45720250
44395,127.461,35.8158,45720250
44396,127.43,35.7923,45720250
44397,127.429,35.7927,45720250
44398,127.356,35.9338,45720400
44399,127.426,35.947,45720400
44400,127.426,35.9752,45720400
44401,127.376,35.8928,45720390
44402,127.429,35.8727,45720390
44403,127.397,35.889,45720390
44404,127.44,35.8543,45720390
44405,127.486,35.8225,45720340
44406,127.487,35.8223,45720340
44407,127.487,35.8231,45720340
44408,127.576,35.8413,45720330
44409,127.575,35.8416,45720330
44410,127.362,35.8359,45720380
44411,127.346,35.8392,45720380
44412,127.323,35.8074,45720380
44413,127.372,35.8554,45720380
44414,127.371,35.7344,45720370
44415,127.347,35.7446,45720370
44416,127.292,35.7145,45720360
44418,127.299,35.7319,45720360
44419,127.323,35.7086,45720360
44420,127.299,35.7318,45720360
44421,127.396,35.6892,45720350
44422,127.553,35.8971,45720320
44423,127.519,35.9651,45720310
44424,127.535,35.9517,45720310
44425,127.523,35.95,45720310
44426,127.523,35.9535,45720310
44427,127.515,35.9597,45720310
44428,127.423,35.7892,45720250
44429,126.868,35.5614,45180103
44430,126.844,35.5755,45180105
44431,126.815,35.6709,45180370
44432,126.984,35.6016,45180420
44433,126.989,35.6029,45180420
44434,127.021,35.6157,45180440
44435,126.853,35.5825,45180101
44436,126.9,35.5098,45180118
44437,126.877,35.6163,45180310
44438,126.848,35.5638,45180105
44439,126.862,35.5507,45180104
44440,126.864,35.5555,45180104
44441,126.854,35.5644,45180104
44442,126.985,35.6061,45180420
44443,127.03,35.5668,45180430
44444,126.872,35.5775,45180122
44445,126.859,35.5834,45180101
44446,126.847,35.5727,45180105
44447,126.939,35.651,45180390
44448,126.878,35.5481,45180113
44449,126.844,35.5764,45180105
44450,126.885,35.6872,45180250
44451,126.845,35.573,45180105
44452,126.846,35.5723,45180105
44453,126.941,35.6512,45180390
44454,126.992,35.6034,45180420
44455,126.851,35.5699,45180101
44456,127.043,35.6212,45180440
44457,126.856,35.5657,45180104
44458,126.928,35.4926,45180119
44459,126.838,35.56,45180108
44460,126.836,35.5611,45180108
44461,126.844,35.5696,45180105
44462,127.327,35.5413,45750355
44463,127.201,35.5698,45750310
44464,127.164,35.5302,45750390
44465,127.157,35.5101,45750400
44467,127.16,35.6606,45750320
44468,127.178,35.684,45750360
44469,127.224,35.6571,45750330
44470,127.271,35.6737,45750380
44471,127.358,35.5639,45750410
44473,127.274,35.5077,45750370
44474,127.333,35.6299,45750340
44475,127.287,35.6173,45750250
44476,127.289,35.618,45750250
69496,127.0,36.0,45140400
70376,126.697,35.4931,45790420
70377,126.738,35.4785,45790420
70378,126.745,35.5363,45790410
70379,126.645,35.3552,45790370
70380,126.487,35.4437,45790350
70381,126.564,35.414,45790330
70382,126.697,35.4304,45790250
70383,126.701,35.4323,45790250
70384,126.702,35.4356,45790250
70401,126.555,35.3675,45790340
70402,126.513,35.3772,45790340
70403,126.51,35.3768,45790340
70404,126.596,35.34,45790380
70405,126.594,35.3405,45790380
70406,126.563,35.3279,45790380
